MX,Dummy Account,PLATINUM,1000,user1@wizeline.com
US,Dummy Account,PLATINUM,2000,user2@wizeline.com
FR,Dummy Account,PLATINUM,3000,user3@wizeline.com
MX,Dummy Account,PLATINUM,4000,user4@wizeline.com
MX,Dummy Account,PLATINUM,15000,user1@wizeline.com
MX,Dummy Account,PLATINUM,1000,user1@wizeline.com
US,Dummy Account,PLATINUM,2000,user2@wizeline.com
FR,Dummy Account,PLATINUM,3000,user3@wizeline.com
MX,Dummy Account,PLATINUM,4000,user4@wizeline.com
MX,Dummy Account,PLATINUM,15000,user1@wizeline.com
MX,Dummy Account,PLATINUM,1000,user1@wizeline.com
US,Dummy Account,PLATINUM,2000,user2@wizeline.com
FR,Dummy Account,PLATINUM,3000,user3@wizeline.com
MX,Dummy Account,PLATINUM,4000,user4@wizeline.com
MX,Dummy Account,PLATINUM,15000,user1@wizeline.com
MX,Dummy Account,PLATINUM,1000,user1@wizeline.com
US,Dummy Account,PLATINUM,2000,user2@wizeline.com
FR,Dummy Account,PLATINUM,3000,user3@wizeline.com
MX,Dummy Account,PLATINUM,4000,user4@wizeline.com
MX,Dummy Account,PLATINUM,15000,user1@wizeline.com
MX,Dummy Account,PLATINUM,1000,user1@wizeline.com
US,Dummy Account,PLATINUM,2000,user2@wizeline.com
FR,Dummy Account,PLATINUM,3000,user3@wizeline.com
MX,Dummy Account,PLATINUM,4000,user4@wizeline.com
MX,Dummy Account,PLATINUM,15000,user1@wizeline.com
